chunk_text,trial_id,condition,phase,status,enrollment,sponsor,interventions,start_year,completion_year
"NCT Number: NCT01507740. Study Title: Profile of Soluble and Cellular Biomarkers and of Functional Imaging During Antiangiogenic Therapies in Cancer Patients. Sponsor: Medical University Innsbruck. Condition or Disease: Hepatocellular Cancer|Non-small Cell Lung Cancer|Renal Cell Cancer|Colorectal Cancer. Intervention or Drug or Treatment: DRUG: Avastin|DRUG: Suntent|DRUG: Nexavar. Phase: . Study Status: TERMINATED. Enrollment: 60.0. Summary: Tumour angiogenesis has been identified to play a critical role in tumour growth and this knowledge has led to the identification of new targets for cancer therapy. Multiple angiogenic factors are involved in the regulation of angiogenesis, among them VEGF (vascular endothelial growth factor) and its receptor are of crucial relevance. The inhibition of VEGF signaling by monoclonal antibodies or small molecules (kinase inhibitors) has already been successfully established for the treatment of different cancer entities and multiple new drugs are being tested in clinical trials. The ever-expanding list of antiangiogenic agents being available in the near future will raise the questions when to use which agent and in which sequence. As a consequence biomarkers are going to be indispensible tools for choosing the most effective drugs and to predict dosing and resistance. The present project is based on an academic clinical trial in which patients suffering from different cancer types (colorectal cancer, non-small cell lung cancer, renal cell cancer and hepatocellular cancer) treated routinely with antiangiogenic agents will be included. Consecutive serum and blood probes will be taken and will be examined and correlated with functional imaging and the clinical course. The following parameters have been",NCT01507740,Hepatocellular Cancer|Non-small Cell Lung Cancer|Renal Cell Cancer|Colorectal Cancer,,TERMINATED,60.0,Medical University Innsbruck,DRUG: Avastin|DRUG: Suntent|DRUG: Nexavar,2009,2014
"agents will be included. Consecutive serum and blood probes will be taken and will be examined and correlated with functional imaging and the clinical course. The following parameters have been selected: soluble markers in the plasma (VEGF, bFGF, ICAM, sVGFR-2 IL-8, SDF1 and Dickkopf 3) and cellular parameters like circulating endothelial cells (CEC) and circulating endothelial progenitor cells (CEPs). In conclusion, the present project is screening for potential biomarkers and biomarker combinations relevant for antiangiogenic drugs in different tumour types. The predictive value of such profiles should then be evaluated in larger cohorts. In the future such profiles could possibly help clinicians to use these agents more effectively and therefore also more economically..",NCT01507740,Hepatocellular Cancer|Non-small Cell Lung Cancer|Renal Cell Cancer|Colorectal Cancer,,TERMINATED,60.0,Medical University Innsbruck,DRUG: Avastin|DRUG: Suntent|DRUG: Nexavar,2009,2014
"NCT Number: NCT00091039. Study Title: Vaccine Therapy, Chemotherapy, and Radiation Therapy in Treating Patients With Stage III Non-Small Cell Lung Cancer That Cannot Be Removed With Surgery. Sponsor: National Cancer Institute (NCI). Condition or Disease: Lung Cancer. Intervention or Drug or Treatment: BIOLOGICAL: recombinant fowlpox GM-CSF vaccine adjuvant|BIOLOGICAL: recombinant fowlpox-CEA(6D)/TRICOM vaccine|BIOLOGICAL: recombinant vaccinia-CEA(6D)-TRICOM vaccine|DRUG: carboplatin|DRUG: paclitaxel|RADIATION: radiation therapy. Phase: . Study Status: COMPLETED. Enrollment: . Summary: RATIONALE: Vaccines made from a gene-modified virus may make the body build an immune response to kill tumor cells. Drugs used in chemotherapy, such as paclitaxel and carboplatin, work in different ways to stop tumor cells from dividing so they stop growing or die. Radiation therapy uses high energy x-rays to damage tumor cells. Combining vaccine therapy with chemotherapy and radiation therapy may kill more tumor cells.
PURPOSE: This clinical trial is studying how well giving vaccine therapy together with paclitaxel, carboplatin, and radiation therapy works in treating patients with stage III non-small cell lung cancer that cannot be removed with surgery.. ",NCT00091039,Lung Cancer,,COMPLETED,,National Cancer Institute (NCI),BIOLOGICAL: recombinant fowlpox GM-CSF vaccine adjuvant|BIOLOGICAL: recombinant fowlpox-CEA(6D)/TRICOM vaccine|BIOLOGICAL: recombinant vaccinia-CEA(6D)-TRICOM vaccine|DRUG: carboplatin|DRUG: paclitaxel|RADIATION: radiation therapy,2004,2006
"NCT Number: NCT06569420. Study Title: Study Of Comparing SAF-189s With Crizotinib In First Line ALK-Positive Advanced and Metastatic NSCLC. Sponsor: Shanghai Fosun Pharmaceutical Industrial Development Co. Ltd.. Condition or Disease: Non-Small Cell Lung Cancer|ALK-positive|SAF-189s. Intervention or Drug or Treatment: OTHER: Drug: Foritinib Succinate|OTHER: Drug: Crizotinib. Phase: PHASE3. Study Status: ACTIVE_NOT_RECRUITING. Enrollment: 275.0. Summary: This randomized, multicenter, Phase III, open-label study will evaluate the efficacy and safety of SAF-189s versus crizotinib treatment in participants with treatment-naive ALK-positive advanced NSCLC. Participants will be randomized 1:1 into one of the two treatment groups to receive either SAF-189s (160 milligrams \[mg\] once daily \[QD\]) or crizotinib (250 mg BID) orally, respectively.. ",NCT06569420,Non-Small Cell Lung Cancer|ALK-positive|SAF-189s,PHASE3,ACTIVE_NOT_RECRUITING,275.0,Shanghai Fosun Pharmaceutical Industrial Development Co. Ltd.,OTHER: Drug: Foritinib Succinate|OTHER: Drug: Crizotinib,2021,2027
"NCT Number: NCT00033384. Study Title: CI-1040 in Treating Patients With Advanced Breast, Colon, Pancreatic, or Non-Small Cell Lung Cancer. Sponsor: University of Alabama at Birmingham. Condition or Disease: Breast Cancer|Colorectal Cancer|Lung Cancer|Pancreatic Cancer. Intervention or Drug or Treatment: DRUG: CI-1040. Phase: PHASE2. Study Status: COMPLETED. Enrollment: . Summary: RATIONALE: CI-1040 may stop the growth of tumors by blocking the enzymes necessary for cancer cell growth and by stopping blood flow to the tumor.
PURPOSE: Phase II trial to study the effectiveness of CI-1040 in treating patients who have metastatic or unresectable breast, colon, pancreatic, or non-small cell lung cancer.. ",NCT00033384,Breast Cancer|Colorectal Cancer|Lung Cancer|Pancreatic Cancer,PHASE2,COMPLETED,,University of Alabama at Birmingham,DRUG: CI-1040,2002,2003
"NCT Number: NCT00004887. Study Title: Paclitaxel and Carboplatin Chemotherapy Compared With Standard Chemotherapy in Treating Patients With Stage III or Stage IV Non-small Cell Lung Cancer That Cannot Be Removed During Surgery. Sponsor: The Christie NHS Foundation Trust. Condition or Disease: Lung Cancer. Intervention or Drug or Treatment: DRUG: carboplatin|DRUG: cisplatin|DRUG: ifosfamide|DRUG: mitomycin C|DRUG: paclitaxel|DRUG: vinblastine sulfate. Phase: PHASE3. Study Status: UNKNOWN. Enrollment: . Summary: RATIONALE: Drugs used in chemotherapy use different ways to stop tumor cells from dividing so they stop growing or die. It is not yet known whether paclitaxel and carboplatin is more effective than standard chemotherapy for advanced non-small cell lung cancer.
PURPOSE: Randomized phase III trial to compare the effectiveness of paclitaxel and carboplatin chemotherapy with that of standard chemotherapy in treating patients who have stage III or stage IV non-small cell lung cancer that cannot be removed during surgery.. ",NCT00004887,Lung Cancer,PHASE3,UNKNOWN,,The Christie NHS Foundation Trust,DRUG: carboplatin|DRUG: cisplatin|DRUG: ifosfamide|DRUG: mitomycin C|DRUG: paclitaxel|DRUG: vinblastine sulfate,1999,
"NCT Number: NCT00469976. Study Title: Enzastaurin, Carboplatin, and Gemcitabine With or Without Bevacizumab in Treating Patients With Recurrent, Stage IIIB, or Stage IV Non-Small Cell Lung Cancer. Sponsor: Eastern Cooperative Oncology Group. Condition or Disease: Lung Cancer. Intervention or Drug or Treatment: DRUG: bevacizumab|DRUG: carboplatin|DRUG: enzastaurin hydrochloride|DRUG: gemcitabine hydrochloride. Phase: PHASE2. Study Status: WITHDRAWN. Enrollment: 0.0. Summary: RATIONALE: Enzastaurin may stop the growth of tumor cells by blocking some of the enzymes needed for cell growth and by blocking blood flow to the tumor. Drugs used in chemotherapy, such as carboplatin and gemcitabine, work in different ways to stop the growth of tumor cells, either by killing the cells or by stopping them from dividing. Monoclonal antibodies, such as bevacizumab, can block tumor growth in different ways. Some block the ability of tumor cells to grow and spread. Others find tumor cells and help kill them or carry tumor-killing substances to them. Giving enzastaurin together with carboplatin and gemcitabine, with or without bevacizumab, may kill more tumor cells.
PURPOSE: This phase II trial is studying how well giving enzastaurin together with carboplatin and gemcitabine, with or without bevacizumab, works in treating patients with recurrent, stage IIIB, or stage IV non-small cell lung cancer.. ",NCT00469976,Lung Cancer,PHASE2,WITHDRAWN,0.0,Eastern Cooperative Oncology Group,DRUG: bevacizumab|DRUG: carboplatin|DRUG: enzastaurin hydrochloride|DRUG: gemcitabine hydrochloride,2007,
"NCT Number: NCT06437977. Study Title: Neoadjuvant Therapy of SBRT Sequencial with Toripalimab and Chemotherapy in Resectable Stage II-III NSCLC Patients(neoR-TORCH). Sponsor: Shanghai Chest Hospital. Condition or Disease: Stage II-III Non-small Cell Lung Cancer. Intervention or Drug or Treatment: RADIATION: SBRT|DRUG: Toripalimab. Phase: PHASE3. Study Status: RECRUITING. Enrollment: 478.0. Summary: This is a randomized, controlled, multi-center, phase III clinical study to evaluate the efficacy and safety of SBRT sequencial with Toripalimab and chemotherapy versus Toripalimab and chemotherapy for subjects with resectable, stage II-III NSCLC.. ",NCT06437977,Stage II-III Non-small Cell Lung Cancer,PHASE3,RECRUITING,478.0,Shanghai Chest Hospital,RADIATION: SBRT|DRUG: Toripalimab,2024,2029
"NCT Number: NCT06374160. Study Title: Exercise in Patients With Advanced Non-small Cell Lung Cancer. Sponsor: University Hospital, Essen. Condition or Disease: Advanced Lung Carcinoma|First Line Treatment|Second Line Treatment|NSCLC Stage IV|NSCLC Stage IIIB|Palliative Treatment|NSCLC Stage IIIC. Intervention or Drug or Treatment: BEHAVIORAL: Exercise intervention. Phase: . Study Status: NOT_YET_RECRUITING. Enrollment: 104.0. Summary: Lung cancer is one of the most common types of cancer in Germany, with 56,839 new cases and 45,072 deaths annually. Approximately 70% of patients with non-small cell lung cancer (NSCLC) are diagnosed at an advanced stage and suffer from comorbidities and symptoms such as fatigue, tiredness, and loss of strength. The standard first-line treatment for metastatic NSCLC includes platinum-based chemoimmunotherapy followed by immunotherapy maintenance. Exercise can have positive effects on symptoms such as shortness of breath, fatigue, quality of life, and physical fitness. However, there is a lack of current scientific evidence for the effectiveness of exercise in advanced lung cancer patients. No current trial investigated exercise in advanced NSCLC receiving immunotherapy so far. The BREATH-study is a prospective 3-arm randomized controlled trial (RCT). In total, the investigators plan to recruit 104 patients. A 2:1:1 randomization will be performed with three study groups: a control group and two exercise therapy groups (strength+endurance exercise/only endurance exercise). One group receives individual endurance training and the other group a combination of individual endurance and strength training. Both treatment groups will be treated twice a week for 12 weeks. The control group will initially receive standard treatment without exercise for 12 weeks",NCT06374160,Advanced Lung Carcinoma|First Line Treatment|Second Line Treatment|NSCLC Stage IV|NSCLC Stage IIIB|Palliative Treatment|NSCLC Stage IIIC,,NOT_YET_RECRUITING,104.0,"University Hospital, Essen",BEHAVIORAL: Exercise intervention,2024,2026
"individual endurance and strength training. Both treatment groups will be treated twice a week for 12 weeks. The control group will initially receive standard treatment without exercise for 12 weeks and will then be randomized into one of the other two study groups with exercise twice a week for 12 weeks. This approach allows for a sufficiently large sample for comparisons between exercise therapy and the control group, as well as between the two exercise therapy approaches. The primary aim is to investigate the impact of exercise on V02peak. Secondarily endpoints aim to investigate changes in physical function, patient related outcomes and cardiac function before and after exercise..",NCT06374160,Advanced Lung Carcinoma|First Line Treatment|Second Line Treatment|NSCLC Stage IV|NSCLC Stage IIIB|Palliative Treatment|NSCLC Stage IIIC,,NOT_YET_RECRUITING,104.0,"University Hospital, Essen",BEHAVIORAL: Exercise intervention,2024,2026
"NCT Number: NCT00743379. Study Title: Dose-Escalation Study of TH-302 in Combination With A) Gemcitabine or B) Docetaxel or C) Pemetrexed to Treat Advanced Solid Tumors. Sponsor: Threshold Pharmaceuticals. Condition or Disease: Non-Small Cell Lung Cancer|Prostate Cancer|Pancreatic Cancer. Intervention or Drug or Treatment: DRUG: TH-302. Phase: PHASE1|PHASE2. Study Status: COMPLETED. Enrollment: 71.0. Summary: The purpose of this study is to determine if TH-302, in combination with A) Gemcitabine, or B) Docetaxel or C) Pemetrexed methotrexate, are safe and effective in the treatment of Pancreatic Cancer, Castrate-resistant Prostate Cancer, and Non-small Cell Lung Cancer, respectively.. ",NCT00743379,Non-Small Cell Lung Cancer|Prostate Cancer|Pancreatic Cancer,PHASE1|PHASE2,COMPLETED,71.0,Threshold Pharmaceuticals,DRUG: TH-302,2008,2014
"NCT Number: NCT04770688. Study Title: Advanced Lung Tumor Treated by Osimertinib Plus Anlotinib. Sponsor: Shanghai Chest Hospital. Condition or Disease: Non-Small Cell Lung Cancer With EGFR Mutation|Locally Advanced Solid Tumor|Metastatic Cancer|Adenocarcinoma of Lung. Intervention or Drug or Treatment: DRUG: Osimertinib|DRUG: Anlotinib. Phase: PHASE1|PHASE2. Study Status: COMPLETED. Enrollment: 25.0. Summary: This is a prospective, single arm, phase Ib/IIa study. Up to 25 patients will be enrolled into the study (Part A: 2-18; Part B: 7-19). The study has been designed to allow an investigation of the optimal combination dose and schedule whilst of Osimertinib plus Anlotinib in patients with EGFRm+, treatment-naïve IIIb/IV Non-Small Cell Lung Cancer (NSCLC) ensuring the safety of patients with intensive safety monitoring. There are two main parts to this study; Part A, Combination dose finding and Parts B, Dose expansion.. ",NCT04770688,Non-Small Cell Lung Cancer With EGFR Mutation|Locally Advanced Solid Tumor|Metastatic Cancer|Adenocarcinoma of Lung,PHASE1|PHASE2,COMPLETED,25.0,Shanghai Chest Hospital,DRUG: Osimertinib|DRUG: Anlotinib,2020,2024
